what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.make.ui,5.0.0.200806171202,org.eclipse.cdt.make.editor,1220619949402
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1220619953261
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1220619953417
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1220619953589
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1220619957448
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.goto.lineEnd,1220619957948
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1220619961933
activated,view,org.eclipse.ui.navigator.resources,3.3.100.I20080606-1300,org.eclipse.ui.navigator.ProjectExplorer,1220619964729
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.0.v20080605-1800,org.eclipse.ltk.ui.refactoring,1220619972557
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220619972682
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220619978057
executed,command,org.eclipse.ltk.ui.refactoring,3.4.0.v20080605-1800,org.eclipse.ltk.ui.refactoring.commands.renameResource,1220619978104
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.rename,1220619978104
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220619986182
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220619987995
executed,command,org.eclipse.ltk.ui.refactoring,3.4.0.v20080605-1800,org.eclipse.ltk.ui.refactoring.commands.deleteResources,1220619988010
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1220619988010
activated,editor,org.eclipse.cdt.make.ui,5.0.0.200806171202,org.eclipse.cdt.make.editor,1220619994807
executed,command,org.eclipse.ui.ide,3.4.0.I20080606-1300,org.eclipse.ui.project.buildProject,1220619996651
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220619996994
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220619998604
activated,view,org.eclipse.ui.navigator.resources,3.3.100.I20080606-1300,org.eclipse.ui.navigator.ProjectExplorer,1220620000322
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220620000916
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220620003994
executed,command,org.eclipse.ltk.ui.refactoring,3.4.0.v20080605-1800,org.eclipse.ltk.ui.refactoring.commands.renameResource,1220620004010
